ID 0: LinearLayout @ [87, 180]
ID 1: '关注' id:title @ [87, 181]
ID 2: LinearLayout @ [219, 180]
ID 3: '推荐' id:title @ [219, 181]
ID 4: LinearLayout @ [351, 180]
ID 5: '热榜' id:title @ [351, 181]
ID 6: LinearLayout @ [483, 180]
ID 7: '故事' id:title @ [483, 181]
ID 8: LinearLayout @ [615, 180]
ID 9: '知识' id:title @ [615, 181]
ID 10: LinearLayout @ [747, 180]
ID 11: '圈子' id:title @ [747, 181]
ID 12: LinearLayout @ [879, 180]
ID 13: '专栏' id:title @ [879, 181]
ID 14: id:right_container @ [970, 180]
ID 15: desc:'搜索' @ [1006, 180]
ID 16: desc:'听' @ [917, 180]
ID 17: '锦绣河煲铲稻沪' @ [236, 243]
ID 18: TextView @ [540, 329]
ID 19: desc:'赞同1765' @ [108, 441]
ID 20: '1765' id:statusTv @ [134, 441]
ID 21: desc:'收藏555' @ [294, 441]
ID 22: '555' id:statusTv @ [321, 441]
ID 23: FrameLayout @ [472, 441]
ID 24: desc:'评论220' @ [472, 441]
ID 25: '220' id:statusTv @ [499, 441]
ID 26: ImageView @ [1006, 441]
ID 27: '现在的暗网真的像网上说的那样充满血腥，暴力吗?' @ [536, 568]
ID 28: 'Curry' @ [152, 643]
ID 29: TextView @ [540, 746]
ID 30: desc:'赞同4775' @ [108, 858]
ID 31: '4775' id:statusTv @ [134, 858]
ID 32: desc:'收藏928' @ [294, 858]
ID 33: '928' id:statusTv @ [321, 858]
ID 34: FrameLayout @ [472, 858]
ID 35: desc:'评论799' @ [472, 858]
ID 36: '799' id:statusTv @ [499, 858]
ID 37: ImageView @ [1006, 858]
ID 38: 'iPhone真的安全到连FBI也无法破解吗？' @ [429, 985]
ID 39: 'Yang' @ [150, 1060]
ID 40: TextView @ [540, 1163]
ID 41: desc:'赞同4865' @ [108, 1275]
ID 42: '4865' id:statusTv @ [134, 1275]
ID 43: desc:'收藏950' @ [294, 1275]
ID 44: '950' id:statusTv @ [321, 1275]
ID 45: FrameLayout @ [481, 1275]
ID 46: desc:'评论1590' @ [481, 1275]
ID 47: '1590' id:statusTv @ [507, 1275]
ID 48: ImageView @ [1006, 1275]
ID 49: '有哪个瞬间很心疼一个人？' @ [306, 1402]
ID 50: '真实职业故事' @ [218, 1479]
ID 51: '36.3 万人关注' @ [489, 1479]
ID 52: TextView @ [540, 1583]
ID 53: desc:'赞同113' @ [99, 2074]
ID 54: '113' id:statusTv @ [126, 2074]
ID 55: desc:'收藏23' @ [269, 2074]
ID 56: '23' id:statusTv @ [295, 2074]
ID 57: FrameLayout @ [421, 2074]
ID 58: desc:'评论2' @ [421, 2074]
ID 59: '2' id:statusTv @ [448, 2074]
ID 60: ImageView @ [1006, 2074]
ID 61: '为什么有钱人的孩子和穷人（小康？）的孩子能一眼就分辨出来呢？' @ [540, 2188]
ID 62: '快速登录，解锁更多优质回答' id:guide_text @ [411, 2116]
ID 63: '一键登录' id:guide_login_btn @ [934, 2116]
ID 64: id:guide_close @ [1045, 2082]
ID 65: LinearLayout @ [108, 2259]
ID 66: '首页' id:tab_title @ [108, 2295]
ID 67: LinearLayout @ [324, 2259]
ID 68: '直答' id:tab_title @ [324, 2295]
ID 69: LinearLayout @ [540, 2259]
ID 70: LinearLayout @ [756, 2259]
ID 71: '消息' id:tab_title @ [756, 2295]
ID 72: LinearLayout @ [972, 2259]
ID 73: '未登录' id:tab_title @ [972, 2296]
